source,target
18425,NA
18426,"18053, 20675, 10993"
18427,10849
18430,28348
18431,"20023, 26010, 20624, 11875"
18432,"10567, 20040"
18433,10743
18434,"28279, 14073"
18435,NA
18436,NA
18437,NA
18438,"14715, 11016"
18442,"15097, 11013, 11107"
18443,20415
18444,11161
18445,11225
18446,NA
18447,NA
18448,11901
18449,NA
18450,NA
18452,NA
18453,16130
18455,NA
18459,"20736, 20402"
18460,"10835, 10921"
18461,11060
18463,NA
18464,NA
18467,"11163, 28558"
18468,NA
18469,"11289, 11176, 22001"
18470,"11449, 10704, 18068, 11615"
18471,NA
18473,10704
18474,"11381, 10613"
18476,NA
18477,"17025, 18888, 20459, 20675"
18480,17059
18481,10921
18482,"11313, 11313"
18483,11449
18489,11168
18490,"14061, 10672"
18491,"10856, 10850, 10854, 16061, 16075"
18493,NA
18494,"11070, 11107, 11899"
18495,NA
18496,"19942, 11070, 11015, 21181"
18497,NA
18499,11449
18500,"12740, 12055, 16555"
18501,NA
18502,24019
18505,NA
18506,10770
18507,12246
18508,NA
18509,NA
18510,20622
18511,NA
18512,"11049, 10846"
18513,"20736, 28078, 28229, 20675, 18017, 21562"
18514,"11196, 11068, 11382, 11041, 11375, 11067"
18515,NA
18516,NA
18517,11342
18518,NA
18519,NA
18521,NA
18523,28061
18524,"23054, 14104, 12556, 24014, 20021"
18526,"18732, 11161, 17008, 10646, 11028, 11263"
18529,11113
18530,NA
18532,"11411, 11107, 22097"
18533,NA
18534,21181
18535,NA
18536,NA
18538,NA
18541,11035
18542,11016
18544,NA
18545,NA
18546,NA
18547,"11894, 11106, 10844"
18548,"23058, 11169, 22010"
18549,22058
18550,NA
18551,NA
18554,13548
18555,NA
18556,NA
18558,NA
18559,NA
18560,11162
18561,NA
18563,"16127, 20349, 11301"
18564,20715
18566,NA
18569,24092
18570,NA
18571,NA
18572,"18481, 19909, 18019, 10968"
18575,13520
18578,16054
18579,14253
18580,11075
18581,"11240, 28202"
18582,10721
18583,NA
18585,"20743, 20450"
18588,"28013, 11845"
18589,NA
18592,24321
18593,NA
18594,NA
18595,NA
18597,NA
18598,NA
18600,22058
18601,11038
18602,18333
18603,NA
18604,NA
18605,NA
18606,NA
18610,NA
18612,"11013, 11061"
18613,11154
18614,NA
18615,NA
18617,25185
18618,"11060, 18265"
18619,NA
18620,11081
18621,"11090, 11028"
18622,18018
18635,NA
18636,NA
18637,11160
18638,"19919, 19125"
18639,"11684, 18978, 20415"
18640,11081
18641,11281
18642,27535
18643,10743
18644,"23044, 23064"
18645,11013
18647,NA
18649,"20375, 20744"
18650,NA
18651,"11684, 10921, 20415"
18652,NA
18653,NA
18654,NA
18655,"11015, 11070, 20001, 20115, 20359, 20321, 20580, 20311, 20445, 28523, 20327, 20012, 20005"
18656,"26000, 24166"
18658,NA
18660,NA
18661,11417
18662,NA
18663,"20167, 20025, 28440, 20159, 20157"
18664,11038
18665,"19832, 23056, 23002, 28005"
18666,"11197, 11154, 10605, 11220, 11013"
18667,"20580, 18821, 10659, 10844"
18668,NA
18669,NA
18670,15097
18671,"20169, 11065, 20216"
18674,"11049, 11368, 10844"
18675,18419
18677,NA
18679,"11177, 11107, 20293, 20022, 24064, 20718"
18681,"20650, 28354, 20452, 20183, 30362, 30349"
18682,NA
18683,"20736, 20402, 20744"
18684,24356
18685,NA
18686,"20025, 20003, 20580, 20423"
18687,NA
18688,16111
18689,"11107, 20624, 20377, 11409, 20629, 25345, 20374"
18690,NA
18691,NA
18692,28471
18693,NA
18694,NA
18695,NA
18696,19177
18697,"11106, 12527, 20177, 20522"
18698,NA
18699,20177
18700,10861
18701,NA
18703,NA
18704,NA
18705,"11070, 10658, 13123"
18706,24479
18707,NA
18708,20721
18709,"11439, 11107, 19886, 11245, 10636, 11417"
18710,"24199, 14307, 20024, 20395"
18711,NA
18712,11240
18713,"11240, 20658, 18910"
18714,20377
18715,"20724, 20359"
18716,20650
18717,"11154, 11106, 11220, 11065"
18718,NA
18719,NA
18720,"24229, 11674, 11674, 20729"
18721,"11015, 11272, 11263, 11667, 19947, 11251, 10947, 11012"
18722,NA
18723,"11352, 11173"
18724,"20638, 28259, 20024, 20637, 28643, 20519, 17057, 20402, 20732"
18725,NA
18726,NA
18727,NA
18728,NA
18729,NA
18730,20418
18731,NA
18732,"20731, 20024, 20395, 20012"
18734,"11557, 11261, 11395"
18735,NA
18737,NA
18738,18837
18739,NA
18740,11341
18741,NA
18742,24139
18743,"20340, 20348"
18744,NA
18745,20637
18747,NA
18749,10704
18750,NA
18753,NA
18757,NA
18758,NA
18759,10606
18760,NA
18762,NA
18763,NA
18764,"18340, 18945, 11839"
18765,NA
18767,"11071, 20715, 20012, 20021, 20022, 24091, 11583, 20532, 24207, 20572, 20468, 28413"
18770,28326
18771,10664
18773,"11839, 22153, 21897"
18774,28014
18779,NA
18781,NA
18782,11263
18785,NA
18786,11049
18788,NA
18789,"11282, 11585, 20020, 24312, 20258"
18790,NA
18791,11065
18792,"11163, 11014, 10567, 11442"
18793,"11449, 10704, 20024, 28427"
18794,NA
18795,19934
18796,11323
18797,11243
18800,"10986, 10652"
18802,19154
18803,11013
18804,20721
18809,NA
18810,NA
18811,11411
18812,NA
18813,NA
18814,NA
18815,NA
18819,20646
18820,11071
18821,NA
18822,25009
18823,NA
18825,NA
18829,NA
18830,NA
18831,11324
18832,28459
18833,11219
18834,"11013, 19192"
18835,20020
18836,"11080, 25174, 10664, 18897, 10957"
18837,"11107, 15088, 20169, 20624, 19928"
18838,NA
18839,NA
18840,NA
18841,11667
18842,NA
18843,"28202, 28449"
18844,"20021, 20202"
18845,10977
18846,13151
18847,NA
18848,NA
18849,NA
18851,"20020, 20468"
18853,10986
18854,11331
18857,12527
18858,11070
18859,27044
18860,NA
18861,20311
18862,NA
18863,11585
18864,"20317, 20354, 20201, 20332, 11517, 20256, 20356"
18865,"19893, 11670, 10882, 11010, 17084, 11204, 10993"
18866,NA
18869,NA
18870,11670
18871,NA
18873,NA
18874,NA
18876,"22147, 11001"
18877,NA
18878,28104
18879,27501
18880,NA
18881,NA
18883,"11049, 10788, 11638, 11060"
18884,NA
18885,"20604, 24467, 20323, 20321, 28095"
18886,NA
18887,11067
18888,"20459, 28468, 27031, 27026"
18890,NA
18891,NA
18892,"10986, 11279"
18893,"11062, 11107, 20001"
18894,NA
18895,12527
18897,"20020, 20311, 20297, 20718, 20012, 20005, 20321, 20587, 20258, 20322"
18898,NA
18899,20201
18900,"20160, 10610, 20167, 20265"
18901,"20115, 20432, 20733"
18902,"17529, 22010"
18903,20468
18904,NA
18905,20468
18908,NA
18909,NA
18910,"20012, 28578, 20204, 24312, 20650"
18911,"11013, 27007, 19913"
18912,"11013, 11066"
18913,NA
18914,NA
18915,"11107, 11070, 22114, 20192"
18916,NA
18917,28449
18918,20524
18919,20359
18920,NA
18921,23505
18922,NA
18923,NA
18924,19911
18925,28202
18927,NA
18928,"11081, 20197"
18930,"20736, 20644, 28388, 27049, 20732"
18931,NA
18933,NA
18935,"11065, 11013"
18936,NA
18937,NA
18938,12246
18939,NA
18942,"11107, 11070"
18943,20622
18944,NA
18945,"22118, 12143, 12303"
18946,"12153, 19954"
18947,NA
18949,NA
18950,NA
18951,NA
18952,NA
18953,11419
18954,NA
18955,NA
18956,NA
18957,NA
18958,"11071, 12556"
18959,15196
18960,11107
18961,NA
18962,20177
18963,NA
18964,NA
18966,NA
18968,24050
18969,NA
18970,NA
18973,18966
18974,20619
18975,NA
18976,"11061, 11062, 11106, 10846"
18977,11656
18978,"10921, 20459"
18979,"20648, 20561"
18980,"11069, 20727, 20580"
18981,NA
18982,20201
18983,11014
18984,"11281, 11019"
18985,NA
18986,"20624, 20736, 20644"
18987,18505
18988,NA
18989,NA
18990,NA
18991,NA
18993,"15285, 19873"
18995,NA
18996,NA
18997,"11671, 20399"
18998,NA
18999,11063
19000,"20001, 11107, 20508, 22247"
19001,"11016, 25227"
19002,11296
19004,"22107, 19147"
19005,NA
19007,11107
19009,NA
19010,15097
19011,NA
19012,NA
19013,NA
19015,NA
19016,"11049, 11393, 10839, 11350"
19017,"11197, 11234, 11013, 18029, 22037"
19018,NA
19019,"11016, 11063, 11019, 19858, 11306, 11298"
19020,11507
19021,NA
19022,"11411, 11154, 20023"
19025,NA
19027,NA
19028,10664
19031,"11317, 10776, 11641"
19032,"15238, 11317, 10702"
19033,"11035, 11019, 11015"
19034,"20031, 25197"
19035,"20012, 20025, 20201, 20547, 20426, 20408, 28413"
19038,28476
19040,"11876, 20177"
19043,"10689, 11449, 15060"
19044,"11298, 20299, 11282, 20022, 20543, 20259"
19045,"24105, 24283"
19046,NA
19047,"11340, 20020"
19049,20115
19050,NA
19051,20120
19052,20472
19053,NA
19054,"20024, 20025, 27519, 28404, 20402, 20525, 28069"
19055,NA
19056,NA
19057,23030
19058,11670
19059,"24366, 19858, 11583, 20022"
19060,"11067, 20299, 20021, 20022, 20327, 20587, 25221, 20304, 20208"
19061,11070
19062,NA
19063,"11154, 16051"
19064,"11049, 10730, 19884, 11348, 10846"
19066,"20177, 15119"
19067,NA
19069,NA
19071,NA
19072,28375
19073,NA
19074,NA
19075,"28305, 15454, 20727"
19076,NA
19077,"10880, 15516"
19078,NA
19079,"20564, 20720, 20213"
19080,"20311, 20032, 20333, 20332, 20313, 20118, 11704, 25301"
19081,NA
19084,"20469, 20032, 20031, 20408, 20426, 20330, 20632, 20352, 22107"
19085,NA
19086,18995
19087,NA
19089,NA
19090,"11002, 10567"
19091,NA
19092,NA
19093,"28309, 20024, 20638, 20399, 20459, 19894"
19094,NA
19095,11107
19096,22010
19098,NA
19099,"20005, 20102, 20372, 20351, 20191, 20348"
19100,NA
19101,NA
19102,NA
19103,NA
19104,NA
19105,NA
19107,NA
19108,"20012, 20031, 20025, 20032, 20348"
19109,NA
19111,20012
19112,"20655, 20468"
19113,11281
19115,20121
19116,NA
19118,24217
19119,"18267, 11449"
19120,11368
19121,"20528, 20254, 20195, 20472, 20390, 24126, 20650, 20040"
19123,11160
19124,11163
19125,NA
19127,"20325, 20390, 27519, 20472"
19128,"28102, 11581, 20646, 18581"
19129,NA
19130,"20402, 20398, 20733, 20732, 20442"
19132,11411
19135,11013
19137,11331
19138,14262
19139,"11060, 11107, 11410, 20258, 20405, 20354, 20244"
19141,NA
19142,"28003, 20519, 28069, 20025"
19143,"11049, 11340, 20020"
19144,"20012, 20005, 20647, 20028, 20468, 25327, 20337, 20032, 20328, 20416, 20348"
19145,"11718, 11060, 10844"
19147,20023
19148,11407
19149,20115
19151,11169
19152,NA
19153,NA
19154,"11667, 20738, 20025, 28258, 20732, 22024, 28053, 20732"
19155,NA
19156,NA
19158,"20115, 20305"
19159,"20399, 10947, 19130"
19160,NA
19161,18116
19163,NA
19164,"11163, 11014, 11013"
19165,11642
19166,12491
19167,NA
19168,28497
19170,"11412, 11422, 17033, 18414, 19909, 17052, 22970"
19172,NA
19173,"20415, 28090, 10901, 18366, 10978, 20459"
19174,11684
19175,NA
19176,15631
19177,NA
19179,"17080, 10921, 10841"
19180,NA
19181,11107
19182,"17548, 20395"
19183,"17506, 18652"
19184,24248
19185,NA
19187,"11670, 20395"
19188,NA
19189,NA
19192,"15088, 11107, 22141, 20150"
19193,"20012, 20025"
19196,NA
19198,"10872, 18911"
19199,"20415, 20459, 28558, 20675"
19200,25010
19201,NA
19204,10921
19205,NA
19206,20020
19207,NA
19211,NA
19212,NA
19213,20675
19214,NA
19216,15236
19218,NA
19220,"19476, 10737"
19221,"15303, 12527, 22010, 20566"
19223,NA
19224,NA
19225,"11070, 11289, 20736, 20032, 28053, 20005, 20426"
19226,NA
19227,NA
19228,11011
19229,NA
19230,28676
19231,NA
19232,20033
19233,NA
19234,NA
19235,18708
19236,NA
19237,11049
19238,11154
19239,NA
19240,NA
19241,11605
19243,NA
19244,NA
19245,NA
19246,NA
19247,NA
19248,24390
19249,20415
19250,NA
19251,NA
19252,NA
19253,11418
19254,20728
19255,NA
19256,NA
19257,10957
19258,NA
19259,NA
19260,"11016, 20593, 20358"
19261,NA
19262,NA
19263,NA
19264,NA
19265,11210
19266,NA
19267,"12074, 11225"
19268,"18259, 20598"
19269,NA
19270,NA
19271,11019
19272,NA
19276,NA
19277,15664
19278,"11069, 11640, 20359"
19279,NA
19280,NA
19281,NA
19282,NA
19283,NA
19284,NA
19285,NA
19286,NA
19287,NA
19288,"10756, 25021"
19289,NA
19290,19060
19291,11507
19292,NA
19293,NA
19294,NA
19296,NA
19297,NA
19299,NA
19300,NA
19301,NA
19302,NA
19303,NA
19304,NA
19305,NA
19306,25042
19307,"11049, 11051"
19308,NA
19309,20375
19310,NA
19311,11191
19312,NA
19313,NA
19314,18758
19319,NA
19320,NA
19321,NA
19322,11289
19323,NA
19324,"11067, 11072"
19325,NA
19326,NA
19327,28142
19328,NA
19331,10672
19332,NA
19333,NA
19334,NA
19335,NA
19336,"11331, 11257, 10834, 19886, 11069"
19337,"12169, 11220, 10929"
19338,24517
19339,NA
19340,NA
19341,11222
19342,"11640, 11368, 13019, 11642, 28862"
19343,NA
19344,NA
19346,28326
19347,NA
19348,19886
19349,NA
19350,NA
19351,20291
19353,18876
19354,NA
19356,NA
19357,14134
19358,20032
19359,"11015, 15623"
19360,NA
19361,NA
19362,"11845, 20029, 20300, 30411"
19363,14469
19364,NA
19365,11441
19366,NA
19367,11628
19368,NA
19369,NA
19370,"11684, 10921, 27031, 19154, 20675"
19371,NA
19372,NA
19373,11541
19374,23740
19375,"11424, 11290, 11318, 11019"
19376,NA
19377,NA
19378,"28251, 11684, 20024, 20395, 11180"
19379,NA
19381,NA
19382,"11841, 21357"
19383,NA
19384,NA
19385,NA
19386,NA
19387,NA
19389,11151
19390,NA
19391,NA
19392,NA
19393,NA
19394,18402
19395,NA
19396,10849
19397,18261
19398,NA
19399,NA
19400,"25060, 27517, 12531, 20575, 20472, 27036"
19402,NA
19403,11301
19406,NA
19408,20728
19409,11213
19410,NA
19411,NA
19412,18649
19413,NA
19414,NA
19416,NA
19417,NA
19418,NA
19419,NA
19420,NA
19421,NA
19423,NA
19425,NA
19426,NA
19427,NA
19429,NA
19430,NA
19431,NA
19432,NA
19436,NA
19441,28701
19443,NA
19444,11070
19445,NA
19446,NA
19447,12592
19448,NA
19449,NA
19450,NA
19451,NA
19452,NA
19453,NA
19454,15089
19455,11289
19456,NA
19457,NA
19458,NA
19459,11080
19460,22233
19461,NA
19462,NA
19463,NA
19465,NA
19466,19467
19467,NA
19469,12574
19471,11213
19472,15583
19473,28282
19474,NA
19476,NA
19477,NA
19478,11717
19479,NA
19480,NA
19481,NA
19482,19934
19483,NA
19484,24248
19485,11014
19486,NA
19487,"19924, 19924, 11163, 10612"
19488,NA
19489,14330
19490,NA
19491,20325
19492,11311
19493,NA
19494,24433
19495,24300
19496,28282
19497,17068
19498,"20201, 20032"
19499,13530
19500,NA
19501,NA
19502,NA
19503,NA
19505,NA
19506,"19809, 18182, 22187"
19507,NA
19508,NA
19509,NA
19510,27430
19511,10770
19512,NA
19513,"11052, 11035, 10830, 10783"
19514,NA
19515,NA
19516,"11449, 20449"
19517,NA
19518,NA
19519,11222
19520,NA
19521,11208
19522,NA
19523,14330
19524,11264
19526,NA
19527,28699
19528,11090
19530,NA
19531,NA
19532,NA
19533,NA
19534,NA
19535,20505
19536,10567
19537,NA
19538,28708
19539,NA
19540,NA
19541,NA
19542,NA
19543,NA
19544,NA
19546,"11549, 22261, 10559"
19547,NA
19548,NA
19549,NA
19550,NA
19551,NA
19553,NA
19554,11456
19555,19556
19556,11104
19557,NA
19558,13107
19559,NA
19560,NA
19561,12491
19562,NA
19563,NA
19564,NA
19565,NA
19566,11072
19567,NA
19571,NA
19572,NA
19574,NA
19575,NA
19576,NA
19577,NA
19578,NA
19579,NA
19580,NA
19581,NA
19590,NA
19591,NA
19592,NA
19700,10505
19750,10846
19800,"20177, 20167, 11070, 22036"
19801,11049
19802,NA
19803,"11889, 11173, 11107, 20701, 28358"
19816,NA
19817,22652
19818,"11063, 20359, 20468, 20706, 20469"
19819,11235
19820,NA
19821,11449
19822,NA
19823,NA
19824,"11013, 10818"
19825,"20012, 20023, 20102, 20468, 20033, 20390, 20032, 24473, 20262, 20565, 20120, 20157, 30512, 30523, 30116, 20430, 30137"
19826,"11065, 11106, 11107"
19827,11449
19828,"11826, 19957, 19500, 12509"
19829,"20012, 11070, 20204, 20359"
19830,"20709, 11029"
19831,11070
19832,"23002, 11070"
19833,11013
19834,11081
19835,"11184, 20505, 20177, 22145, 20502, 22247"
19836,"20347, 24293, 20241, 20031"
19837,"20020, 20021, 20115, 20031, 11073, 20286, 24031, 20280"
19838,"20020, 20468, 20226, 20229, 20022, 20241, 20031, 20288, 20280, 20273"
19839,NA
19840,"20020, 11049, 10846, 11626"
19841,NA
19842,11019
19843,"11298, 20021"
19844,"20746, 11060, 11289, 28225, 28471, 10967, 20025"
19845,"11674, 14048"
19846,"11060, 25060, 20021, 20258, 11441"
19847,"20377, 11411, 20023, 20624, 11340"
19848,"20311, 20021, 24144, 20230, 24315, 20020, 20031, 20029, 20229, 20247, 20032, 20291, 20472, 14368, 20547, 20241, 20285"
19849,"20012, 20032, 20331, 20547, 20241, 20348"
19850,"11073, 24311"
19851,NA
19852,20740
19853,NA
19854,"20020, 20012, 20021, 20468, 20347, 11613, 20559, 20304, 20208"
19855,"11019, 11298, 11296"
19856,11047
19857,NA
19858,NA
19859,NA
19860,"11060, 20648, 11583, 20737, 24135, 11295, 11177, 19858, 16128, 14352, 20021, 20005"
19861,NA
19862,"20012, 20020"
19863,"20722, 25047, 10957"
19864,"11060, 11352, 19866"
19865,"11052, 11049, 11347, 11029, 11362"
19866,"11060, 20012, 20005, 20320, 11718, 20020, 20587, 20593"
19867,11068
19868,"11430, 10844"
19869,"11630, 11049"
19870,10780
19871,"11049, 11398, 11069, 25249, 11331"
19872,"11049, 11052, 11060, 10740"
19873,NA
19874,"19001, 11049, 11052, 18243, 11068, 11069"
19875,NA
19876,"19896, 27354"
19877,"20187, 25315, 20649, 20468, 20321, 20328"
19878,"20727, 11361"
19879,10770
19880,"11060, 20016, 15129, 10846, 11331, 15060"
19881,"11323, 20728"
19882,11049
19883,"11049, 15194"
19884,NA
19885,11423
19886,"11263, 11067, 10644, 20020, 20012, 20022, 20243, 25360, 20288"
19887,NA
19888,NA
19889,"19927, 10849"
19890,"20023, 20624, 20029"
19891,"26010, 20624, 20377, 20023, 20653, 26013"
19892,"19891, 10872, 19927, 18689"
19893,"19839, 19947, 28326, 18069, 11582, 14262, 17064, 19928, 24139, 18320, 11169"
19894,"20638, 20731, 18897, 20415, 20402, 20744, 20398, 20733, 20732, 27536"
19895,"10884, 20399"
19896,"17530, 20395, 18739, 19127, 19894, 20399, 11676, 19896, 17548, 10884, 17536"
19897,"11107, 11070, 22097, 20500"
19898,"11227, 18116, 20707, 11876"
19899,NA
19900,"20736, 20644, 20415, 20675"
19901,"11289, 11071, 11272, 20012, 20115"
19902,28482
19903,20177
19904,"28008, 20005, 20115, 11070, 20288, 20208, 20471, 28591"
19905,"19901, 14144"
19906,"11015, 11419, 11071, 20024, 11019"
19907,11425
19908,"20012, 20005, 11070, 20580, 20327, 20115, 19825, 11107"
19909,"11684, 10921, 20675, 10948, 20415, 27053"
19910,"11177, 10852"
19911,"19934, 19960, 11269"
19912,"15068, 24084, 18210, 15207, 16127, 19875, 20739, 15372, 11418, 11605, 11711, 18873, 24460, 19144, 10967, 11729, 28689"
19913,"28386, 20675, 27053, 18017, 20395, 10835"
19914,"11449, 10704"
19915,"18078, 13039"
19916,19829
19917,NA
19918,"11019, 11286"
19919,"20743, 18068, 28086, 10704, 28424, 25257, 27366"
19920,"10770, 11369, 10835"
19921,"19179, 11422, 12586, 19302, 12318, 27053"
19922,19889
19923,20624
19924,20021
19925,"11418, 20415, 18337, 18970, 27023, 10978, 10770, 18414"
19926,"11066, 11047, 12004"
19927,11062
19928,"20025, 20398, 20402, 20736, 20644, 23258"
19929,"11060, 20724, 20020, 20012, 20395, 27527, 28660, 20635, 20587"
19930,10986
19931,"20459, 20730, 20736, 20454"
19932,"20020, 28086, 20208"
19933,NA
19934,NA
19935,"20675, 20024, 20638, 20415, 18178, 20459, 20736"
19936,"10856, 16093"
19937,22695
19938,"11286, 14134, 11015, 11282"
19939,"11068, 10957"
19940,"11422, 11066, 18431, 10942, 19076, 18414, 10880, 11411"
19941,10778
19942,"12247, 18686, 11070, 11107, 25345, 20519"
19943,20177
19944,"20511, 11209, 11080, 22112, 20024, 20394, 11070, 22171"
19945,NA
19946,"20502, 10852, 11867, 11062, 11546"
19947,"20347, 20373, 11613, 20319, 20032, 20310, 20732, 20241"
19948,"11068, 10957, 20012, 20258, 20021, 20022, 20208, 24420, 20364"
19949,10986
19950,NA
19951,NA
19952,NA
19953,NA
19954,"11063, 11876, 18655, 20500, 11107"
19955,NA
19956,11331
19957,"11151, 12571"
19958,11039
19960,NA
19961,"11061, 11106, 11107"
19965,"21876, 39684, 31584, 11014, 11241"
20001,"11013, 11062, 11234, 20024, 20012, 20363, 20020, 11070, 20187, 20023, 20005, 20405, 20031, 20033, 28114, 20229, 20650, 20002, 20025, 30234, 28492, 30112, 20379, 20260, 20348, 20241, 20296, 30184, 20630, 20211, 20216, 30463, 30116, 23027, 20164, 30103, 30399, 30284, 30355, 22141, 20202, 30239, 30367, 30100, 35016, 30503, 30547, 32039, 30288"
20002,"30584, 30418, 30308, 38072, 30007, 38726, 30487, 30485, 30583, 36024, 30443, 33031, 30493, 36634"
20003,NA
20004,NA
20005,"11060, 11070, 20020, 20012, 20359, 20405, 20022, 20647, 20297, 20327, 20025, 25246, 20354, 20032, 20288, 20366, 20002, 20029, 20031, 20033, 20318, 20229, 20034, 20296, 20121, 20348, 20357, 30007, 30020, 30026, 30021, 30153, 30201, 11410, 30226, 30242, 30335, 30352, 30418, 20387, 30556, 30367, 30170, 30524, 31003, 30245, 32009, 38521"
20011,NA
20012,"20646, 19908, 11107, 20577, 20320, 20024, 20001, 20321, 20359, 20033, 20031, 20025, 20028, 20317, 20318, 20411, 20229, 20329, 20121, 20338, 20347, 20452, 20331, 20330, 20200, 20405, 20462, 20608, 20733, 20286, 20364, 20617, 20032, 20304, 20472, 20443, 20355, 20348, 20340, 20290, 20241, 20191, 20351, 20034, 30184, 20386"
20013,"20014, 20005, 20726, 20187, 20373"
20014,"30020, 36618, 30309, 30248, 36649, 36628, 30118, 36540"
20015,NA
20016,"20012, 20013, 20014, 11060, 20020, 20327, 20320, 24131, 20469"
20017,NA
20018,NA
20019,"20031, 30189"
20020,"11015, 11060, 11063, 11107, 11272, 20012, 20647, 20031, 20033, 20032, 20102, 20025, 20304, 20547, 20296, 20208, 20187, 20318, 20587, 20347, 20286, 20468, 20472, 20443, 20173, 20278, 20276, 20291, 20404, 20210, 20219, 34062, 20231, 20193, 20241, 20430, 30106, 20268, 20348, 20164, 20285, 20386"
20021,"11070, 20012, 20020, 20025, 20033, 20031, 20547, 20296, 20040, 20404, 20383, 20380, 20190, 20214, 20193, 20663, 20294, 20656, 38371, 20547"
20022,"20025, 20033, 20029, 20031, 20005, 20012, 11667, 20285, 20283, 30175, 23066, 20318, 20193, 30106, 30026, 30367, 33021, 30121"
20023,"20239, 10616, 20519, 20624, 20468, 25246, 22149, 20025, 20029, 20640, 20390, 20184, 20393, 30525, 30279, 30411, 20440, 36037, 20190, 20426, 30354, 20381, 27513, 36012, 26510, 24162, 20404, 30232, 30194, 30233, 36036, 30355, 23033, 20448, 30237, 30206, 20296, 30239, 30184, 30367, 30490, 36051, 30412"
20024,"20001, 20020, 20012, 20025, 20509, 20121, 20644, 20413, 30373, 20641, 20031, 20239, 20157, 20738, 28042, 20405, 20736, 27522, 20331, 30286, 20461, 20732, 5363, 20744, 20733, 24481, 20402, 27556, 12578, 20465, 20347, 27536, 27523, 20241, 20034, 20340, 28531"
20025,"20012, 20115, 20405, 20532, 20644, 20192, 20005, 20327, 20200, 20288, 20733, 20373"
20026,"22136, 20321, 20187, 20023, 20029, 20033, 20032, 20443, 20547, 20390, 20382, 20734, 20433, 36036, 20563, 20426, 20650, 20380, 20436, 20348, 20357, 20386"
20027,"20296, 30106, 20283, 30175, 30251, 30105"
20028,"30021, 30201, 30367, 30349, 11410, 38573, 38574, 30564, 30026, 30020, 30399, 30224, 30137, 20387"
20029,"30484, 20023, 20033, 30355, 30226, 30399, 30026, 30232, 30399, 30308, 30228, 30485, 30487, 30367, 30412, 30280, 30526, 20672, 36014, 36056, 30493, 30583"
20031,"30455, 30007, 30026, 30020, 30153, 30175, 30201, 30022, 30316, 30343, 30359, 30024, 30160, 30170, 30400, 30161, 30559"
20032,"35047, 37818, 38378, 30369, 20012, 20033, 30007, 30201, 30022, 30418, 20164, 30200, 30556, 30175, 30376, 30421, 30395, 30399, 30269, 30498, 30375"
20033,"37754, 20025, 20029, 30007, 30021, 5, 30020, 30399, 38072, 30022, 36618, 30297, 30426, 30201, 30351, 30153, 30160, 30170, 30023, 30550"
20034,"30001, 30007, 30313, 11222, 38443, 38363, 37534, 37543, 38566, 30275, 38001, 30025, 38204, 30586, 30516, 38502, 38198, 38369, 38420, 36057"
20040,"30001, 30002"
20101,NA
20102,"20001, 20025, 20364, 30007, 30020, 30021, 30201, 30189, 30022, 30200, 30263, 30212, 30216, 30170, 30222, 36540, 35004"
20104,NA
20105,NA
20106,NA
20108,NA
20109,NA
20110,"20028, 36649, 30341, 30007, 30435, 30249"
20111,"38495, 30210, 30207"
20112,NA
20113,NA
20114,NA
20115,"11449, 11049, 11015, 11081, 11073, 20205, 11070, 20718, 20295, 20550, 20020, 20012, 20005, 20025, 20246, 20347, 20288, 20304, 20660, 20256, 20208, 20634, 20278, 20121, 20467, 28500, 28307, 28531"
20116,NA
20117,"25326, 20184, 35075, 36649, 35021"
20118,"39582, 30020, 24162, 30022, 30201, 30212, 30469, 30216, 30170, 30200, 35047, 38636, 30480, 30410, 35004"
20119,NA
20120,"20002, 39466, 36618, 30008, 30201, 38041, 30511, 34251, 36506, 36514, 31513"
20121,"20005, 20032, 20318, 30007, 30313, 30535, 30115, 30356, 30553, 30375, 30383, 30277, 30023, 30226, 30311, 38044, 30022, 30226, 30351, 30417, 30263, 30421, 38834, 30397, 30221, 30311, 30313, 30535, 30115, 30356, 30553, 30375, 30383, 30277, 30021, 30020, 30026, 38044"
20150,"20023, 25246, 11234, 20020, 20164, 20296, 20547, 20296, 30399, 20385, 20184"
20151,20029
20152,"20650, 31126, 30112"
20153,"32045, 30107"
20154,"30103, 30232, 30463, 20172, 25345"
20155,"30162, 30399, 30137, 30250, 30315, 30526, 20387"
20156,"20029, 20443, 20172, 20032, 20348, 20022, 20012, 20159, 20464"
20157,"20029, 20644, 20002, 20164, 30285, 30026, 30399, 30367, 30007, 30226, 30308, 30418, 30212, 30493, 32009"
20158,"30001, 38048, 38606, 36621, 38473, 30023, 32009"
20159,"20033, 30201, 30465, 30367, 30021, 30309, 30480, 30020, 30216"
20160,"20443, 20025, 30278, 30279, 20300, 20640, 20029, 20211, 30463, 30399, 30103, 20436, 30105, 20164, 35125"
20161,"26010, 20023, 20025, 20029"
20162,"20172, 34021, 30255, 30203, 30117"
20163,"20405, 20005, 20472, 20184, 20212, 20450, 30566, 20032, 20296, 20348, 30184, 20386"
20164,"30001, 30003, 30002, 30005, 30553, 38433, 30394, 38684, 25264, 38556, 38044, 30516, 30272, 30297, 30554, 38473, 30023, 38719, 39144, 32250, 31378"
20165,"20033, 20029, 20164, 30101, 30026, 30103, 30232, 30116, 30547, 30418, 22141, 30263, 30515, 30107, 30400, 30399, 38696, 20387, 30367, 35125, 33021"
